type,id,street,housenumber,flats,interpolation,shape,area,reason
way,401027350,,,,odd,open2,Grange Hill East,interpolation-live
way,401027364,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,401027369,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027378,,,,odd,open2,Non-Residential - B,interpolation-live
way,401027379,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027381,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027385,,,,odd,open2,Hanlon Creek,interpolation-live
way,401027386,,,,even,open2,University,interpolation-live
way,401027388,,,,even,open2,Exhibition Park,interpolation-live
way,401027399,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027405,,,,even,open2,Exhibition Park,interpolation-live
way,401027412,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027427,,,,odd,open2,Old University,interpolation-live
way,401027428,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027429,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027441,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027444,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,401027449,,,,odd,open2,University,interpolation-live
way,401027450,,,,even,open2,Unplaced,interpolation-live
way,401027468,,,,odd,open2,University,interpolation-live
way,401027481,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027499,,,,even,open2,Clairfields,interpolation-live
way,401027501,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,401027502,,,,odd,open2,Non-Residential - B,interpolation-live
way,401027506,,,,odd,open2,Clairfields,interpolation-live
way,401027512,,,,even,open2,Old University,interpolation-live
way,401027517,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027524,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027538,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027545,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,401027550,,,,even,open2,Grange Hill East,interpolation-live
way,401027553,,,,even,openN,Old University,interpolation-multinode
way,401027557,,,,odd,openN,University,interpolation-multinode
way,401027558,,,,odd,openN,Two Rivers,interpolation-multinode
way,401027570,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,401027580,,,,odd,openN,Grange Hill East,interpolation-multinode
way,401027593,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,401027597,,,,even,openN,University,interpolation-multinode
way,401027602,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,401027604,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,401027628,,,,odd,openN,Non-Residential - C,interpolation-multinode
way,401027630,,,,odd,openN,Hales Barton,interpolation-multinode
way,401027632,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,401027636,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,401027646,,,,even,openN,University,interpolation-multinode
way,401027661,,,,even,openN,Non-Residential - B,interpolation-multinode
way,401027664,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,401027668,,,,odd,openN,Non-Residential - B,interpolation-multinode
way,401027681,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,539311557,,,,even,openN,Non-Residential - B,interpolation-multinode
way,1413282060,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
